epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.99,1.64567,2.1868,1.26973,0.74285,0.70312,0.72143,0.3295,1.76577,1.16536,1.38593,0.000665425,0.000665425,0.000665425
2,320.781,1.74141,1.30875,1.32462,0.74489,0.69358,0.70174,0.3022,1.74288,1.20189,1.34754,0.0013189,0.0013189,0.0013189
3,474.563,1.74349,1.29282,1.32435,0.76047,0.68086,0.72275,0.32872,1.72133,1.28339,1.36123,0.00195918,0.00195918,0.00195918
4,628.524,1.69912,1.23462,1.31288,0.80303,0.68849,0.75087,0.3577,1.66872,1.15282,1.34551,0.0019406,0.0019406,0.0019406
5,783.305,1.66035,1.14287,1.29616,0.81504,0.7592,0.79464,0.37944,1.61605,1.09978,1.30319,0.0019208,0.0019208,0.0019208
6,937.017,1.61942,1.09471,1.27456,0.79981,0.74419,0.78932,0.38064,1.63066,1.00134,1.31181,0.001901,0.001901,0.001901
7,1090.36,1.60316,1.06277,1.26858,0.79257,0.75588,0.78908,0.40302,1.55703,1.03399,1.28844,0.0018812,0.0018812,0.0018812
8,1243.68,1.56552,1.01269,1.25613,0.79525,0.77778,0.80682,0.40402,1.56844,0.98514,1.27156,0.0018614,0.0018614,0.0018614
9,1397.63,1.5728,1.00706,1.25191,0.80242,0.79593,0.81076,0.40004,1.57744,0.96532,1.28304,0.0018416,0.0018416,0.0018416
10,1552.01,1.54868,0.97353,1.23415,0.83263,0.79065,0.83569,0.43178,1.55196,0.91939,1.26733,0.0018218,0.0018218,0.0018218
11,1706.19,1.53573,0.96259,1.22651,0.8276,0.8026,0.82716,0.42709,1.53764,0.91365,1.25234,0.001802,0.001802,0.001802
12,1860.06,1.54342,0.93197,1.22673,0.82594,0.80547,0.84478,0.43558,1.53353,0.9047,1.25504,0.0017822,0.0017822,0.0017822
13,2025.65,1.50562,0.91273,1.20847,0.83407,0.8061,0.8354,0.44053,1.51779,0.89319,1.25266,0.0017624,0.0017624,0.0017624
14,2179.74,1.50494,0.91698,1.20409,0.83657,0.79212,0.84113,0.44976,1.50811,0.90255,1.23913,0.0017426,0.0017426,0.0017426
15,2333.88,1.49856,0.91043,1.20706,0.84966,0.79763,0.8467,0.44507,1.523,0.8789,1.23211,0.0017228,0.0017228,0.0017228
16,2488.19,1.4884,0.89095,1.20416,0.84389,0.822,0.85456,0.45424,1.51711,0.86548,1.22488,0.001703,0.001703,0.001703
17,2642.82,1.49174,0.88497,1.18866,0.85519,0.81182,0.85683,0.44726,1.51009,0.8632,1.23896,0.0016832,0.0016832,0.0016832
18,2796.81,1.47183,0.87961,1.20292,0.86402,0.80928,0.86442,0.46535,1.47347,0.81783,1.21522,0.0016634,0.0016634,0.0016634
19,2950.46,1.47227,0.86222,1.20186,0.84873,0.8204,0.86071,0.46328,1.4796,0.82528,1.2228,0.0016436,0.0016436,0.0016436
20,3104.68,1.4693,0.84795,1.19505,0.86085,0.80674,0.85884,0.45153,1.50407,0.83848,1.22308,0.0016238,0.0016238,0.0016238
21,3259.27,1.47376,0.85669,1.18904,0.8311,0.80674,0.83714,0.44364,1.50272,0.8397,1.2261,0.001604,0.001604,0.001604
22,3413.56,1.44859,0.83905,1.18453,0.85575,0.79577,0.85321,0.45043,1.50804,0.85331,1.21351,0.0015842,0.0015842,0.0015842
23,3568.62,1.44271,0.83385,1.18024,0.83707,0.82517,0.85621,0.46455,1.46306,0.83897,1.22173,0.0015644,0.0015644,0.0015644
24,3723.96,1.43743,0.81603,1.17918,0.82497,0.83002,0.85715,0.46022,1.48556,0.80571,1.23235,0.0015446,0.0015446,0.0015446
25,3879.52,1.43447,0.81196,1.17453,0.85282,0.82515,0.86371,0.46922,1.48503,0.78582,1.21916,0.0015248,0.0015248,0.0015248
26,4033.31,1.41571,0.8091,1.16574,0.85439,0.82437,0.86921,0.47059,1.48116,0.80721,1.22985,0.001505,0.001505,0.001505
27,4186.55,1.41159,0.78794,1.16018,0.87122,0.81755,0.8706,0.46445,1.50595,0.8021,1.22538,0.0014852,0.0014852,0.0014852
28,4339.39,1.43007,0.7975,1.16733,0.87371,0.81627,0.86964,0.46934,1.46332,0.80132,1.20864,0.0014654,0.0014654,0.0014654
29,4491.93,1.42428,0.79795,1.16628,0.84694,0.8398,0.86966,0.47332,1.46579,0.77582,1.21842,0.0014456,0.0014456,0.0014456
30,4644.25,1.41062,0.78026,1.16446,0.85223,0.82708,0.87258,0.4792,1.44243,0.78297,1.20027,0.0014258,0.0014258,0.0014258
31,4796.51,1.38828,0.76852,1.15133,0.86412,0.822,0.87087,0.47026,1.4648,0.77404,1.21999,0.001406,0.001406,0.001406
32,4948.9,1.40491,0.77936,1.15251,0.8594,0.83154,0.86743,0.46966,1.46578,0.776,1.2003,0.0013862,0.0013862,0.0013862
33,5101.28,1.38494,0.76735,1.15054,0.87598,0.82327,0.88245,0.48069,1.46243,0.76867,1.18521,0.0013664,0.0013664,0.0013664
34,5253.72,1.38913,0.75713,1.15118,0.86438,0.83467,0.87869,0.47951,1.45019,0.77005,1.19015,0.0013466,0.0013466,0.0013466
35,5406.19,1.39685,0.75903,1.1532,0.86655,0.81882,0.87774,0.48741,1.44667,0.76645,1.1907,0.0013268,0.0013268,0.0013268
36,5558.75,1.37474,0.74402,1.14962,0.86355,0.83026,0.8821,0.48438,1.45608,0.76948,1.19223,0.001307,0.001307,0.001307
37,6795.24,1.38506,0.74954,1.14888,0.87319,0.8186,0.87974,0.48505,1.43788,0.75746,1.19229,0.0012872,0.0012872,0.0012872
38,6949.47,1.37628,0.75402,1.14294,0.8603,0.83344,0.88142,0.48571,1.46429,0.75195,1.2058,0.0012674,0.0012674,0.0012674
39,7101.08,1.38336,0.74344,1.1471,0.87331,0.8239,0.88116,0.48139,1.4541,0.76188,1.19641,0.0012476,0.0012476,0.0012476
40,7252.79,1.33973,0.72853,1.1226,0.86992,0.83853,0.88084,0.4897,1.42168,0.73625,1.19552,0.0012278,0.0012278,0.0012278
41,7404.27,1.37289,0.73176,1.14463,0.87184,0.83408,0.87821,0.48459,1.43309,0.75806,1.19463,0.001208,0.001208,0.001208
42,7556,1.36291,0.73458,1.13828,0.86547,0.83662,0.87836,0.48148,1.43187,0.75851,1.1982,0.0011882,0.0011882,0.0011882
43,7708.23,1.37324,0.74307,1.13146,0.85563,0.83725,0.87445,0.47771,1.44391,0.75036,1.18334,0.0011684,0.0011684,0.0011684
44,7860.53,1.35556,0.73051,1.13256,0.8763,0.82263,0.8808,0.48661,1.45127,0.74714,1.18658,0.0011486,0.0011486,0.0011486
45,8012.71,1.34014,0.70787,1.12156,0.8639,0.83125,0.87917,0.48838,1.44112,0.76455,1.20197,0.0011288,0.0011288,0.0011288
46,8165.16,1.34822,0.71093,1.13221,0.87134,0.83598,0.88498,0.48633,1.44813,0.73631,1.20567,0.001109,0.001109,0.001109
47,28447.2,1.32918,0.69878,1.12155,0.86739,0.82263,0.87274,0.48607,1.44875,0.72717,1.20341,0.0010892,0.0010892,0.0010892
48,28601.4,1.3404,0.69749,1.12518,0.86277,0.83936,0.87798,0.48739,1.42921,0.72669,1.18311,0.0010694,0.0010694,0.0010694
49,28753.2,1.31912,0.6976,1.11642,0.86218,0.83914,0.88433,0.48743,1.43679,0.7256,1.18006,0.0010496,0.0010496,0.0010496
50,28905.4,1.33452,0.70879,1.12353,0.8719,0.82649,0.88185,0.49631,1.4242,0.72896,1.19286,0.0010298,0.0010298,0.0010298
51,29057.3,1.31919,0.69525,1.11598,0.8696,0.83516,0.87946,0.48488,1.44328,0.73818,1.19876,0.00101,0.00101,0.00101
52,29210,1.31925,0.68916,1.11801,0.85876,0.83491,0.87144,0.48169,1.44904,0.74093,1.20199,0.0009902,0.0009902,0.0009902
53,29362.2,1.31113,0.68257,1.10487,0.85901,0.84052,0.87335,0.4868,1.43666,0.76471,1.19376,0.0009704,0.0009704,0.0009704
54,29512.9,1.30355,0.67751,1.11192,0.8657,0.83153,0.87887,0.48233,1.44521,0.73274,1.18299,0.0009506,0.0009506,0.0009506
55,39302.6,1.30454,0.67165,1.10337,0.88037,0.83217,0.87849,0.49097,1.43554,0.73229,1.18472,0.0009308,0.0009308,0.0009308
56,39454.8,1.31278,0.67511,1.1015,0.86666,0.84552,0.88584,0.49108,1.44274,0.72259,1.18171,0.000911,0.000911,0.000911
57,39606,1.30358,0.67999,1.09818,0.8638,0.84668,0.8796,0.49033,1.43764,0.72171,1.19585,0.0008912,0.0008912,0.0008912
58,39755.7,1.29377,0.66887,1.09616,0.86461,0.84443,0.88236,0.49034,1.43064,0.71488,1.18379,0.0008714,0.0008714,0.0008714
59,39905.5,1.28499,0.65973,1.09786,0.87141,0.83576,0.88888,0.49211,1.42176,0.72843,1.18029,0.0008516,0.0008516,0.0008516
60,40055.1,1.29198,0.65661,1.09617,0.86424,0.8337,0.87829,0.49208,1.44139,0.74491,1.19245,0.0008318,0.0008318,0.0008318
61,40205.2,1.28353,0.66124,1.09135,0.85867,0.83427,0.87586,0.49001,1.4417,0.76444,1.18238,0.000812,0.000812,0.000812
62,40355.3,1.26827,0.65035,1.09211,0.86368,0.83535,0.88,0.49291,1.43454,0.73657,1.17514,0.0007922,0.0007922,0.0007922
63,77440.3,1.26586,0.65177,1.08853,0.87067,0.8309,0.8668,0.48085,1.44155,0.73512,1.18424,0.0007724,0.0007724,0.0007724
64,77596.2,1.26126,0.6491,1.09119,0.87013,0.83535,0.87495,0.4892,1.44605,0.73806,1.18846,0.0007526,0.0007526,0.0007526
65,77749.8,1.26946,0.64494,1.08348,0.86686,0.83195,0.87467,0.48766,1.45086,0.73241,1.192,0.0007328,0.0007328,0.0007328
66,77899.4,1.25713,0.64001,1.08341,0.86734,0.8328,0.87638,0.48361,1.45622,0.71996,1.19229,0.000713,0.000713,0.000713
67,78049.8,1.25948,0.63524,1.0809,0.86383,0.84691,0.87035,0.48825,1.44382,0.71334,1.18919,0.0006932,0.0006932,0.0006932
68,78202,1.2366,0.62803,1.07522,0.86773,0.83411,0.87761,0.49132,1.44017,0.72477,1.19,0.0006734,0.0006734,0.0006734
69,78352.8,1.24328,0.63205,1.07694,0.87882,0.83447,0.87606,0.48715,1.44728,0.73941,1.19035,0.0006536,0.0006536,0.0006536
